run_id,dataset,method,scenario,seed,task_idx,metric,value
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,7,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,A_t,0.7880670194003527
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,AIA,0.8474140887013242
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,BWT,-0.06651388888888891
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,Forgetting,0.06651388888888891
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,FWT,0.851125
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,8,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,A_t,0.7887714285714286
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,AIA,0.8415498226883346
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,BWT,-0.0645873015873016
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,Forgetting,0.0645873015873016
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,FWT,0.8471904761904763
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,RAG_mean,-0.03333333333333336
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,Anchor_Retention,0.8233333333333333
cifar224__simplecil__cumulative_drift__seed1,cifar224,simplecil,cumulative_drift,1,9,Long_Range_Retention,0.792
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,A_t,0.917
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,AIA,0.917
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,BWT,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,Forgetting,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,FWT,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,RAG_mean,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,0,Repetition_Gain,nan
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,A_t,0.8982142857142856
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,AIA,0.9076071428571428
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,BWT,-0.002000000000000224
cifar224__simplecil__cumulative_drift__seed2,cifar224,simplecil,cumulative_drift,2,1,Forgetting,0.002000000000000224
